Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      187    0.004    0.000    0.007    0.000 inspect.py:2582(__str__)
      187    0.168    0.001    0.168    0.001 {method 'read' of '_io.BufferedReader' objects}
      187    0.235    0.001    0.235    0.001 {built-in method io.open_code}
      187    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      187    0.300    0.002    0.300    0.002 {built-in method marshal.loads}
      181    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
  181/107    0.012    0.000    0.102    0.001 inspect.py:2246(_signature_from_callable)
      181    0.007    0.000    0.008    0.000 inspect.py:2781(__init__)
      181    0.000    0.000    0.000    0.000 inspect.py:2865(parameters)
      181    0.001    0.000    0.002    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      181    0.002    0.000    0.006    0.000 typing_extensions.py:2989(_collect_type_vars)
      179    0.001    0.000    0.005    0.000 typing.py:677(__init__)
      179    0.002    0.000    0.017    0.000 typing.py:739(__init__)
  177/145    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      176    0.001    0.000    0.002    0.000 inspect.py:494(unwrap)
      176    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      175    0.000    0.000    0.001    0.000 inspect.py:514(_is_wrapper)
      174    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      166    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      144    0.000    0.000    0.001    0.000 typing.py:837(<genexpr>)
      142    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      141    0.001    0.000    0.001    0.000 base.py:109(__init__)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      137    0.000    0.000    0.000    0.000 dataclasses.py:300(__init__)
      137    0.001    0.000    0.005    0.000 dataclasses.py:358(_recursive_repr)
      137    0.001    0.000    0.001    0.000 dataclasses.py:507(<dictcomp>)
      137    0.001    0.000    0.002    0.000 dataclasses.py:532(<listcomp>)
      137    0.004    0.000    0.100    0.001 dataclasses.py:489(_init_fn)
      137    0.001    0.000    0.001    0.000 dataclasses.py:543(<listcomp>)
      137    0.002    0.000    0.051    0.000 dataclasses.py:539(_repr_fn)
      137    0.001    0.000    0.051    0.000 dataclasses.py:575(_cmp_fn)
      137    0.001    0.000    0.030    0.000 dataclasses.py:863(<listcomp>)
      137    0.001    0.000    0.001    0.000 dataclasses.py:924(<listcomp>)
      137    0.000    0.000    0.000    0.000 dataclasses.py:940(<listcomp>)
      137    0.000    0.000    0.000    0.000 dataclasses.py:943(<listcomp>)
      137    0.000    0.000    0.000    0.000 dataclasses.py:949(<listcomp>)
      137    0.022    0.000    0.367    0.003 dataclasses.py:809(_process_class)
      137    0.001    0.000    0.368    0.003 dataclasses.py:1012(wrap)
      137    0.001    0.000    0.207    0.002 dataclasses.py:998(dataclass)
      135    0.000    0.000    0.000    0.000 inspect.py:2869(return_annotation)
   134/81    0.000    0.000    0.017    0.000 typing.py:352(__getitem__)
      134    0.000    0.000    0.000    0.000 inspect.py:286(isbuiltin)
      134    0.000    0.000    0.001    0.000 inspect.py:1866(_signature_is_builtin)
  127/104    0.000    0.000    0.000    0.000 typing.py:756(__hash__)
      124    0.001    0.000    0.002    0.000 module.py:1731(__setattr__)
      124    0.001    0.000    0.001    0.000 parameter.py:8(__instancecheck__)
    124/1    0.001    0.000    0.004    0.004 module.py:2437(train)
    124/1    0.002    0.000    0.007    0.007 module.py:777(_apply)
      124    0.000    0.000    0.000    0.000 __future__.py:68(get_swap_module_params_on_conversion)
      124    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x000001CF1F6C9E50}
      122    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
    122/1    0.003    0.000    1.870    1.870 {built-in method builtins.__import__}
      118    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
      116    0.001    0.000    0.005    0.000 base_events.py:741(call_soon)
      116    0.003    0.000    0.004    0.000 base_events.py:770(_call_soon)
    116/3    0.002    0.000    2.394    0.798 module.py:1555(_call_impl)
    116/3    0.001    0.000    2.394    0.798 module.py:1549(_wrapped_call_impl)
      116    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
      114    0.001    0.000    0.002    0.000 base_events.py:427(create_future)
      114    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
      114    0.001    0.000    0.006    0.000 {method 'set_result' of '_asyncio.Future' objects}
      113    0.000    0.000    0.000    0.000 dataclasses.py:554(<genexpr>)
      112    0.002    0.000    0.009    0.000 base_events.py:703(call_later)
      112    0.002    0.000    0.007    0.000 base_events.py:725(call_at)
      112    0.000    0.000    0.000    0.000 base_events.py:1825(_timer_handle_cancelled)
      112    0.001    0.000    0.001    0.000 events.py:64(cancel)
      112    0.002    0.000    0.004    0.000 events.py:103(__init__)
      112    0.001    0.000    0.002    0.000 events.py:148(cancel)
      112    0.002    0.000    0.009    0.000 futures.py:308(_set_result_unless_cancelled)
      112    0.000    0.000    0.023    0.000 server.py:67(serve)
      112    0.000    0.000    0.022    0.000 server.py:71(_serve)
      112    0.003    0.000    0.022    0.000 server.py:222(main_loop)
      112    0.001    0.000    0.003    0.000 server.py:231(on_tick)
      112    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
      112    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
      112    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
      109    0.001    0.000    0.001    0.000 {method 'to' of 'torch._C.TensorBase' objects}
      108    0.000    0.000    0.000    0.000 _jit_internal.py:1130(is_scripting)
      107    0.000    0.000    0.103    0.001 inspect.py:2859(from_callable)
      107    0.000    0.000    0.103    0.001 inspect.py:3111(signature)
      105    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
      105    0.000    0.000    0.001    0.000 module.py:1151(convert)
      105    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C.TensorBase' objects}
      104    0.000    0.000    0.000    0.000 grad_mode.py:75(__init__)
      104    0.000    0.000    0.001    0.000 grad_mode.py:80(__enter__)
      104    0.000    0.000    0.001    0.000 grad_mode.py:84(__exit__)
      104    0.000    0.000    0.000    0.000 _contextlib.py:154(__new__)
      103    0.000    0.000    0.000    0.000 _python_dispatch.py:268(is_traceable_wrapper_subclass)
      103    0.000    0.000    0.001    0.000 module.py:782(compute_should_use_set_data)
      103    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
      103    0.000    0.000    0.000    0.000 __future__.py:25(get_overwrite_module_params_on_conversion)
      101    0.000    0.000    0.001    0.000 inspect.py:1878(_signature_is_functionlike)
       98    0.001    0.000    0.001    0.000 enum.py:462(__setattr__)
